0   2 * 0
0   3 * 0
0   4 * 0
0   5 * 0
4   2 * 2
6   2 * 3
6   3 * 2
8   2 * 4
8   4 * 2
9   3 * 3
10   2 * 5
10   5 * 2
12   2 * 6
12   3 * 4
12   4 * 3
14   2 * 7
15   3 * 5
15   5 * 3
16   2 * 8
16   4 * 4
18   2 * 9
18   3 * 6
20   2 * 10
20   4 * 5
20   5 * 4
21   3 * 7
22   2 * 11
24   2 * 12
24   3 * 8
24   4 * 6
25   5 * 5
27   3 * 9
28   4 * 7
30   3 * 10
30   5 * 6
32   4 * 8
33   3 * 11
35   5 * 7
36   3 * 12
36   4 * 9
40   4 * 10
40   5 * 8
44   4 * 11
45   5 * 9
48   4 * 12
50   5 * 10
55   5 * 11
60   5 * 12
